engine,indexing,access,operation,valueType,size,samples,avg_ms,min_ms,max_ms,stddev_ms
SwiftData,indexed,read,sort,string,100000,10,1596.5651,1582.2165,1609.3223,9.3920
SwiftData,indexed,read,byID,-,10,10,0.5562,0.4351,1.3422,0.2798
SwiftData,indexed,read,byID,-,100,10,0.5227,0.4107,1.1504,0.2288
SwiftData,indexed,read,byID,-,1000,10,0.2184,0.1575,0.5645,0.1248
SwiftData,indexed,read,byID,-,10000,10,0.5993,0.4175,1.3916,0.2966
SwiftData,indexed,read,byID,-,100000,10,0.3533,0.2147,1.1509,0.2873
SwiftData,indexed,write,insert,-,10,10,2.2235,1.2209,4.6786,1.0372
SwiftData,indexed,write,insert,-,100,10,7.7966,4.6263,16.9260,3.6823
SwiftData,indexed,write,insert,-,1000,10,46.1411,42.0182,64.2879,6.4417
SwiftData,indexed,write,insert,-,10000,10,483.8228,463.9864,526.3565,16.9501
SwiftData,indexed,write,insert,-,100000,10,5447.0203,5366.2988,5555.4625,54.4169
SwiftData,indexed,write,update,-,10,10,1.4946,0.8378,3.6326,0.8428
SwiftData,indexed,write,update,-,100,10,4.9200,3.7585,9.5145,1.9017
SwiftData,indexed,write,update,-,1000,10,35.2113,34.0218,36.1047,0.6460
SwiftData,indexed,write,update,-,10000,10,441.6280,353.0485,1185.4858,261.3992
SwiftData,indexed,write,update,-,100000,10,4110.3276,4030.3500,4290.7363,81.7765
SwiftData,default,read,equality,int,10,10,0.4182,0.1902,1.9102,0.5314
SwiftData,default,read,equality,int,100,10,0.4319,0.2807,1.1489,0.2712
SwiftData,default,read,equality,int,1000,10,1.6220,1.2039,3.2868,0.6665
SwiftData,default,read,equality,int,10000,10,7.5273,5.3533,15.3571,3.0645
SwiftData,default,read,equality,int,100000,10,50.4208,46.0615,69.7472,7.1478
SwiftData,default,read,equality,string,10,10,0.2323,0.1585,0.5784,0.1264
SwiftData,default,read,equality,string,100,10,0.5630,0.3062,1.4613,0.3711
SwiftData,default,read,equality,string,1000,10,1.1565,0.5911,1.7860,0.3394
SwiftData,default,read,equality,string,10000,10,7.7192,5.4042,15.9127,3.1393
SwiftData,default,read,equality,string,100000,10,50.8645,45.9061,76.8099,9.2364
SwiftData,default,read,notEqual,int,10,10,0.3900,0.3242,0.7819,0.1408
SwiftData,default,read,notEqual,int,100,10,1.7414,0.9511,2.6935,0.6433
SwiftData,default,read,notEqual,int,1000,10,11.4613,8.4751,22.6557,4.4245
SwiftData,default,read,notEqual,int,10000,10,87.9314,82.8222,110.9602,8.4392
SwiftData,default,read,notEqual,int,100000,10,933.5541,910.7057,968.7614,18.9371
SwiftData,default,read,notEqual,string,10,10,0.3867,0.3242,0.7875,0.1420
SwiftData,default,read,notEqual,string,100,10,1.5429,0.9370,2.7680,0.6796
SwiftData,default,read,notEqual,string,1000,10,11.4638,8.5385,22.8376,4.4548
SwiftData,default,read,notEqual,string,10000,10,86.6979,81.4075,111.0439,8.7086
SwiftData,default,read,notEqual,string,100000,10,924.5503,902.4523,952.0739,14.3240
SwiftData,default,read,comparison,int,10,10,0.2993,0.2430,0.7103,0.1453
SwiftData,default,read,comparison,int,100,10,1.0184,0.7328,1.4595,0.1767
SwiftData,default,read,comparison,int,1000,10,4.7877,4.0828,10.1615,1.8918
SwiftData,default,read,comparison,int,10000,10,43.2187,39.3519,65.2556,7.8202
SwiftData,default,read,comparison,int,100000,10,451.2604,439.8953,466.6410,7.1483
SwiftData,default,read,comparison,string,10,10,0.4325,0.2166,1.2795,0.3149
SwiftData,default,read,comparison,string,100,10,1.2034,0.9086,3.0008,0.6374
SwiftData,default,read,comparison,string,1000,10,4.0645,3.2197,7.9898,1.4683
SwiftData,default,read,comparison,string,10000,10,34.6852,29.0614,58.9986,8.8666
SwiftData,default,read,comparison,string,100000,10,329.0710,321.2149,343.5138,7.2715
SwiftData,default,read,sort,int,10,10,0.4766,0.3646,1.1296,0.2310
SwiftData,default,read,sort,int,100,10,2.3779,1.0135,4.7280,0.9355
SwiftData,default,read,sort,int,1000,10,11.8800,9.0140,21.9673,4.1244
SwiftData,default,read,sort,int,10000,10,92.3504,86.7902,119.1769,9.5952
SwiftData,default,read,sort,int,100000,10,991.4201,973.3704,1021.0401,12.9500
SwiftData,default,read,sort,string,10,10,0.4216,0.3540,0.9282,0.1787
SwiftData,default,read,sort,string,100,10,2.4124,1.4561,3.1532,0.5712
SwiftData,default,read,sort,string,1000,10,15.0767,12.1186,28.2709,5.1125
SwiftData,default,read,sort,string,10000,10,138.0623,130.5810,163.2620,9.2690
SwiftData,default,read,sort,string,100000,10,1642.2443,1533.0915,2397.4697,267.3179
SwiftData,default,read,byID,-,10,10,0.4153,0.1861,1.1403,0.2907
SwiftData,default,read,byID,-,100,10,0.7395,0.2356,2.2664,0.6513
SwiftData,default,read,byID,-,1000,10,0.4011,0.1522,1.4424,0.3935
SwiftData,default,read,byID,-,10000,10,0.4154,0.2057,1.3151,0.3388
SwiftData,default,read,byID,-,100000,10,0.2060,0.1512,0.5740,0.1304
SwiftData,default,write,insert,-,10,10,1.7165,1.0770,3.8021,0.8209
SwiftData,default,write,insert,-,100,10,5.8341,4.5258,11.1268,2.0020
SwiftData,default,write,insert,-,1000,10,45.7928,42.6705,65.4369,6.9550
SwiftData,default,write,insert,-,10000,10,458.9241,446.3776,473.5473,8.6509
SwiftData,default,write,insert,-,100000,10,5206.2122,5042.4317,5906.1150,250.7776
SwiftData,default,write,update,-,10,10,1.1786,0.7642,3.0358,0.6853
SwiftData,default,write,update,-,100,10,4.6033,3.6438,7.7518,1.2687
SwiftData,default,write,update,-,1000,10,34.1630,32.6552,35.6441,0.8939
SwiftData,default,write,update,-,10000,10,346.5773,340.4744,353.9390,4.2127
SwiftData,default,write,update,-,100000,10,3992.1823,3815.0390,4420.1555,177.6574
SwiftletModel,indexed,read,equality,int,10,10,0.0707,0.0117,0.5817,0.1796
SwiftletModel,indexed,read,equality,int,100,10,0.0200,0.0077,0.1229,0.0362
SwiftletModel,indexed,read,equality,int,1000,10,0.1470,0.0855,0.2667,0.0455
SwiftletModel,indexed,read,equality,int,10000,10,0.7766,0.4763,1.6866,0.3935
SwiftletModel,indexed,read,equality,int,100000,10,4.2326,2.7284,5.6031,1.0092
SwiftletModel,indexed,read,equality,string,10,10,0.0119,0.0045,0.0744,0.0220
SwiftletModel,indexed,read,equality,string,100,10,0.0230,0.0090,0.1300,0.0378
SwiftletModel,indexed,read,equality,string,1000,10,0.0648,0.0516,0.1702,0.0371
SwiftletModel,indexed,read,equality,string,10000,10,0.2467,0.2362,0.3248,0.0275
SwiftletModel,indexed,read,equality,string,100000,10,4.5116,3.2126,7.9230,1.5195
SwiftletModel,indexed,read,notEqual,int,10,10,0.0976,0.0345,0.6322,0.1879
SwiftletModel,indexed,read,notEqual,int,100,10,0.1848,0.1562,0.3977,0.0749
